"","AAGE","F_ACLSWKR","F_EDUCATION","F_STATUSMARIT","F_AMJIND","F_AMJOCC","F_RACE","F_ORIGIN","F_ASEX","F_AWKSTAT","F_FILESTATUS","F_HHDFMX","F_HHDREL","MARSUPWT","CHILDS","F_CONBIRTHFATH","F_CONBIRTHMOTH","F_PENATVTY","F_PRCITSHP","WKSWORKYEAR","TARGET"
"14",26,"Private","Bachelors_degree(BA_AB_BS)","Never_married","Manufacturing-nondurable_goods","Professional_specialty","White","All_other","Female","Full-time_schedules","Single","Nonfamily_householder","Householder",2604.91,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"15",13,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1520.08,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"16",47,"Private","Bachelors_degree(BA_AB_BS)","Never_married","Personal_services_except_private_HH","Machine_operators_assmblrs_&_inspctrs","White","All_other","Female","Full-time_schedules","Single","Nonfamily_householder","Householder",404.9,6,"Germany","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"17",39,"Private","10th_grade","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican_(Mexicano)","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1274.04,0,"Mexico","Mexico","Mexico","Foreign_born-_Not_a_citizen_of_U_S",0,"-_50000."
"18",16,"Private","10th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican-American","Female","Not_in_labor_force","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1555.29,0,"United-States","El-Salvador","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"19",35,"Private","High_school_graduate","Married-civilian_spouse_present","Manufacturing-durable_goods","Handlers_equip_cleaners_etc","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",1790.75,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",49,"-_50000."
"20",12,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Other","Mexican-American","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",455.02,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"21",27,"Self-employed-not_incorporated","Some_college_but_no_degree","Married-civilian_spouse_present","Construction","Precision_production_craft_&_repair","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1004.69,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"22",56,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Adm_support_including_clerical","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1500.08,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",32,"-_50000."
"23",46,"Private","Masters_degree(MA_MS_MEng_MEd_MSW_MBA)","Married-civilian_spouse_present","Other_professional_services","Professional_specialty","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",999.46,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"24",55,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","Asian_or_Pacific_Islander","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1483.69,0,"Japan","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"25",2,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1660.53,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"26",1,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Other","Central_or_South_American","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",848.25,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"27",37,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Mining","Precision_production_craft_&_repair","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",2671.99,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"28",4,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1188.42,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"29",37,"Private","Bachelors_degree(BA_AB_BS)","Never_married","Construction","Executive_admin_and_managerial","White","All_other","Male","Children_or_Armed_Forces","Single","Secondary_individual","Nonrelative_of_householder",1331.35,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"30",63,"Private","Less_than_1st_grade","Married-civilian_spouse_present","Manufacturing-nondurable_goods","Precision_production_craft_&_repair","Other","Mexican_(Mexicano)","Male","Unemployed_full-time","Joint_both_under_65","Householder","Householder",711.15,6,"Mexico","Mexico","Mexico","Foreign_born-_Not_a_citizen_of_U_S",15,"-_50000."
"31",34,"Federal_government","Some_college_but_no_degree","Married-civilian_spouse_present","Transportation","Adm_support_including_clerical","White","All_other","Female","Unemployed_part-_time","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1578.65,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"32",46,"Self-employed-not_incorporated","Some_college_but_no_degree","Married-civilian_spouse_present","Construction","Precision_production_craft_&_repair","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1629.02,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"33",25,"Private","High_school_graduate","Never_married","Other_professional_services","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Single","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",1998.03,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"34",81,"Private","Bachelors_degree(BA_AB_BS)","Widowed","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Single","Nonfamily_householder","Householder",463.55,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"35",46,"Private","High_school_graduate","Separated","Wholesale_trade","Handlers_equip_cleaners_etc","White","Central_or_South_American","Female","Children_or_Armed_Forces","Single","Householder","Householder",2492.74,3,"Peru","Peru","Peru","Foreign_born-_Not_a_citizen_of_U_S",52,"-_50000."
"36",39,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Executive_admin_and_managerial","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",980.1,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"37",42,"Federal_government","Associates_degree-academic_program","Married-civilian_spouse_present","Public_administration","Professional_specialty","White","All_other","Male","PT_for_non-econ_reasons_usually_FT","Joint_both_under_65","Householder","Householder",1539.4,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"38",2,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Male","Children_or_Armed_Forces","Nonfiler","Grandchild_<18_never_marr_not_in_subfamily","Other_relative_of_householder",2621.94,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"39",11,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican-American","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",498.25,0,"Mexico","Mexico","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"40",30,"Private","High_school_graduate","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Children_or_Armed_Forces","Nonfiler","Householder","Householder",1773.08,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"41",7,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Other_Spanish","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",885.84,0,"Dominican-Republic","Puerto-Rico","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"42",66,"Self-employed-not_incorporated","7th_and_8th_grade","Married-civilian_spouse_present","Retail_trade","Sales","White","All_other","Female","Children_or_Armed_Forces","Joint_both_65+","Spouse_of_householder","Spouse_of_householder",4183.26,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",38,"-_50000."
"43",26,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican-American","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1040.15,0,"Mexico","Mexico","Mexico","Foreign_born-_Not_a_citizen_of_U_S",0,"-_50000."
"44",84,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Not_in_labor_force","Joint_both_65+","Spouse_of_householder","Spouse_of_householder",3494.72,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"45",32,"Private","High_school_graduate","Never_married","Retail_trade","Other_service","White","All_other","Female","Full-time_schedules","Head_of_household","Householder","Householder",1130.25,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"46",52,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1407.39,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"47",5,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",235.92,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"48",35,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1669.47,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"49",66,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Business_and_repair_services","Machine_operators_assmblrs_&_inspctrs","White","All_other","Male","Full-time_schedules","Joint_both_65+","Householder","Householder",1212.48,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"50",47,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Not_in_labor_force","Joint_both_under_65","Householder","Householder",3745.71,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"51",36,"Private","High_school_graduate","Married-civilian_spouse_present","Retail_trade","Precision_production_craft_&_repair","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1812,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",48,"-_50000."
"52",37,"Private","High_school_graduate","Married-civilian_spouse_present","Manufacturing-nondurable_goods","Adm_support_including_clerical","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",1027.68,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"53",42,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Social_services","Professional_specialty","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",2635.89,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"54",42,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","Puerto_Rican","Female","Not_in_labor_force","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1293.12,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"55",1,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Grandchild_<18_never_marr_child_of_subfamily_RP","Other_relative_of_householder",1558.21,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"56",72,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Joint_both_65+","Spouse_of_householder","Spouse_of_householder",1841.65,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"57",42,"Self-employed-incorporated","Some_college_but_no_degree","Married-civilian_spouse_present","Business_and_repair_services","Executive_admin_and_managerial","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",949.12,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"50000+."
"58",61,"Private","High_school_graduate","Separated","Private_household_services","Private_household_services","Amer_Indian_Aleut_or_Eskimo","All_other","Female","Full-time_schedules","Single","Nonfamily_householder","Householder",869.67,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",9,"-_50000."
"59",41,"Private","Associates_degree-academic_program","Married-civilian_spouse_present","Manufacturing-durable_goods","Precision_production_craft_&_repair","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1095.21,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",24,"-_50000."
"60",90,"Private","7th_and_8th_grade","Widowed","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Householder","Householder",3666.39,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"61",39,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Wholesale_trade","Sales","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1322.1,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"62",49,"Self-employed-incorporated","Bachelors_degree(BA_AB_BS)","Divorced","Manufacturing-nondurable_goods","Executive_admin_and_managerial","White","All_other","Female","Full-time_schedules","Single","Nonfamily_householder","Householder",946.47,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",50,"-_50000."
"63",25,"Private","High_school_graduate","Married-spouse_absent","Construction","Precision_production_craft_&_repair","White","All_other","Male","Full-time_schedules","Single","Child_18+_ever_marr_Not_in_a_subfamily","Child_18_or_older",3504.66,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",10,"-_50000."
"64",47,"Private","12th_grade_no_diploma","Married-civilian_spouse_present","Utilities_and_sanitary_services","Precision_production_craft_&_repair","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",1274.84,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"50000+."
"65",6,"Private","Children","Never_married","Not_in_universe_or_children","Sales","Asian_or_Pacific_Islander","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1508.23,0,"South_Korea","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"66",0,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1475.95,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"67",36,"Self-employed-incorporated","Some_college_but_no_degree","Married-civilian_spouse_present","Retail_trade","Executive_admin_and_managerial","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",771.46,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"68",33,"Private","Associates_degree-occup_/vocational","Separated","Communications","Precision_production_craft_&_repair","White","All_other","Male","Children_or_Armed_Forces","Single","Nonfamily_householder","Householder",1864.18,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"50000+."
"69",10,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican-American","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",2025.19,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"70",27,"Self-employed-not_incorporated","Bachelors_degree(BA_AB_BS)","Never_married","Retail_trade","Sales","White","All_other","Male","Children_or_Armed_Forces","Single","Secondary_individual","Nonrelative_of_householder",2339.89,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"71",57,"Private","7th_and_8th_grade","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","Cuban","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1133.65,0,"Cuba","Cuba","Cuba","Foreign_born-_Not_a_citizen_of_U_S",0,"-_50000."
"72",50,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Hospital_services","Technicians_and_related_support","Asian_or_Pacific_Islander","All_other","Female","Full-time_schedules","Joint_both_under_65","Householder","Householder",2488.48,6,"Philippines","Philippines","Philippines","Foreign_born-_U_S_citizen_by_naturalization",52,"-_50000."
"73",12,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",3230.85,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"74",51,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Wholesale_trade","Sales","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",1060.36,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"75",10,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican-American","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1922.65,0,"United-States","Mexico","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"76",48,"State_government","Some_college_but_no_degree","Married-civilian_spouse_present","Education","Professional_specialty","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",290.55,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"77",27,"Private","Some_college_but_no_degree","Never_married","Retail_trade","Sales","White","All_other","Male","Full-time_schedules","Single","Nonfamily_householder","Householder",296.82,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"78",24,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1027.88,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"79",17,"Private","7th_and_8th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1709.61,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"80",58,"Self-employed-not_incorporated","Prof_school_degree_(MD_DDS_DVM_LLB_JD)","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Sales","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Householder","Householder",1983.08,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"50000+."
"81",2,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1526.66,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"82",53,"Private","10th_grade","Married-civilian_spouse_present","Construction","Precision_production_craft_&_repair","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",1715.28,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",45,"-_50000."
"83",33,"Private","Bachelors_degree(BA_AB_BS)","Never_married","Other_professional_services","Adm_support_including_clerical","Black","All_other","Female","Full-time_schedules","Single","Nonfamily_householder","Householder",1394.5,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"84",7,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1905.05,0,"Germany","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"85",40,"Private","5th_or_6th_grade","Married-civilian_spouse_present","Manufacturing-nondurable_goods","Handlers_equip_cleaners_etc","White","Mexican_(Mexicano)","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1265.91,3,"Mexico","Mexico","Mexico","Foreign_born-_Not_a_citizen_of_U_S",43,"-_50000."
"86",25,"Private","High_school_graduate","Never_married","Retail_trade","Other_service","White","All_other","Female","Children_or_Armed_Forces","Head_of_household","Child_18+_never_marr_RP_of_subfamily","Child_18_or_older",765.19,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",4,"-_50000."
"87",8,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Other","All_other","Female","Children_or_Armed_Forces","Nonfiler","Grandchild_<18_never_marr_not_in_subfamily","Other_relative_of_householder",684,0,"United-States","United-States","United-States","Foreign_born-_Not_a_citizen_of_U_S",0,"-_50000."
"88",54,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Professional_specialty","Asian_or_Pacific_Islander","All_other","Male","Not_in_labor_force","Nonfiler","Householder","Householder",3039.6,0,"Vietnam","Vietnam","Vietnam","Foreign_born-_Not_a_citizen_of_U_S",0,"50000+."
"89",22,"Private","High_school_graduate","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1174.34,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"90",29,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",2901.42,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"91",9,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1039.2,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"92",85,"Private","High_school_graduate","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Not_in_labor_force","Single","Householder","Householder",1339.37,0,"United-States","United-States","United-States","Foreign_born-_U_S_citizen_by_naturalization",0,"-_50000."
"93",40,"Private","High_school_graduate","Married-civilian_spouse_present","Transportation","Sales","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",2917.4,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
